爱情麻辣烫之情定终身|20160307|20160408|25907086
爱在深秋|20160121|20160222|26351519
澳门风云3|20160207|20160402|26334559
爸爸我来救你了|20160122|20160321|26677940
奔爱|20160213|20160404|26637534
恶灵之门|20160121|20160321|26661696
恶人报喜|20160122|20160229|26219651
高跟鞋先生|20160213|20160413|26652816
恭喜发财之谈钱说爱|20160218|20160408|26718806
诡娃|20160224|20160331|26680909
国酒|20160114|20160220|26647899
果宝特工之水果大逃亡|20160122|20160317|26290381
过年好|20160131|20160310|26698301
极限挑战之皇家宝藏|20160114|20160229|26607739
箭士柳白猿|20160310|20160421|7564989
开罗宣言|20160310|20160509|25945367
美人鱼|20160207|20160407|19944106
谋杀似水年华|20160213|20160331|26263919
年兽大作战|20160207|20160404|26361479
青蛙王国之冰冻大冒险|20160218|20160418|26253893
唐人街探案|20151230|20160228|26311973
卧虎藏龙之青冥宝剑|20160218|20160415|21327512
西游记之三打白骨精|20160207|20160407|25827963
熊出没之熊心归来|20160115|20160315|26330955
叶问3|20160303|20160421|11598977
一家老小向前冲|20160121|20160228|26630517
真相禁区|20160121|20160224|26348798
蒸发太平洋|20160128|20160303|26279449
致我们终将到来的爱情|20160128|20160317|26413306
